t,v,k,N,Source
5,2,102,202.0,Paley type (Colbourn)
5,2,103,206.0,Paley type (Colbourn)
5,2,104,208.0,Paley type (Colbourn)
5,2,108,214.0,Paley type (Colbourn)
5,2,110,218.0,Paley type (Colbourn)
5,2,114,225.0,SBSTT (TJ-AG)
5,2,122,241.0,SBSTT (TJ-AG)
5,2,128,252.0,Paley type (Colbourn)
5,2,132,260.0,Paley type (Colbourn)
5,2,138,271.0,SBSTT (TJ-AG)
5,2,140,273.0,SBSTT (TJ-AG)
5,2,143,288.0,SBSTT (TJ-AG)
5,2,150,289.0,SBSTT (TJ-AG)
5,2,152,292.0,SBSTT (TJ-AG)
5,2,155,303.0,SBSTT (TJ-AG)
5,2,158,304.0,SBSTT (TJ-AG)
5,2,164,310.0,SBSTT (TJ-AG)
5,2,168,318.0,SBSTT (TJ-AG)
5,2,170,322.0,SBSTT (TJ-AG)
5,2,174,327.0,SBSTT (TJ-AG)
5,2,180,332.0,SBSTT (TJ-AG)
5,2,192,346.0,SBSTT (TJ-AG)
5,2,194,357.0,SBSTT (TJ-AG)
5,2,359,359.0,"Cyclic, derived (Colbourn-Keri)"
5,2,378,379.0,"Cyclic, derived (Colbourn-Keri)"
5,2,379,380.0,Paley type (Colbourn)
5,2,431,430.0,Paley type (Colbourn)
5,2,433,434.0,Cyclotomy (Colbourn)
5,2,463,462.0,Paley type (Colbourn)
5,2,467,466.0,Paley type (Colbourn)
5,2,487,486.0,Paley type (Colbourn)
5,2,491,490.0,Paley type (Colbourn)
5,2,499,498.0,Paley type (Colbourn)
5,2,503,503.0,"Cyclic, derived (Colbourn-Keri)"
5,2,509,509.0,"Cyclic, derived (Colbourn-Keri)"
5,2,521,521.0,"Cyclic, derived (Colbourn-Keri)"
5,2,523,523.0,Cyclotomy (Colbourn)
5,2,541,541.0,Cyclotomy (Colbourn)
5,2,547,547.0,Cyclotomy (Colbourn)
5,2,557,557.0,Cyclotomy (Colbourn)
5,2,563,563.0,Cyclotomy (Colbourn)
5,2,569,570.0,Cyclotomy (Colbourn)
5,2,571,571.0,Cyclotomy (Colbourn)
5,2,577,577.0,Cyclotomy (Colbourn)
5,2,587,587.0,Cyclotomy (Colbourn)
5,2,593,593.0,Cyclotomy (Colbourn)
5,2,599,599.0,Cyclotomy (Colbourn)
5,2,601,601.0,Cyclotomy (Colbourn)
5,2,607,607.0,Cyclotomy (Colbourn)
5,2,613,613.0,Cyclotomy (Colbourn)
5,2,1230,615.0,Derive from strength 6
5,2,1282,641.0,Derive from strength 6
5,2,1318,659.0,Derive from strength 6
5,2,1360,680.0,Derive from strength 6
5,2,1366,683.0,Derive from strength 6
5,2,1372,686.0,Derive from strength 6
5,2,1380,690.0,Derive from strength 6
5,2,1422,711.0,Derive from strength 6
5,2,1426,713.0,Derive from strength 6
5,2,1428,714.0,Derive from strength 6
5,2,1438,719.0,Derive from strength 6
5,2,1446,723.0,Derive from strength 6
