"family","t","v","k","N","Source","n","N_pred","domain","tier"
"Add n factors",6,13,256,97769269,"Add 13 factors",13,97769269,TRUE,"ARITHMETIC"
"Add n factors",6,13,257,100975537,"Add 13 factors",13,100975537,TRUE,"ARITHMETIC"
"Add n factors",6,13,263,101005957,"Add 13 factors",13,101005957,TRUE,"ARITHMETIC"
"Add n factors",6,13,264,123251089,"Add 13 factors",13,123251089,TRUE,"ARITHMETIC"
"Add n factors",6,13,265,139850269,"Add 13 factors",13,139850269,TRUE,"ARITHMETIC"
"Add n factors",6,13,266,149974045,"Add 13 factors",13,149974045,TRUE,"ARITHMETIC"
"Add n factors",6,13,267,154455925,"Add 13 factors",13,154455925,TRUE,"ARITHMETIC"
"Add n factors",5,14,767,11492924,"Add 1 factors",1,11492924,TRUE,"ARITHMETIC"
"Add n factors",5,14,768,13024272,"Add 2 factors",2,13024272,TRUE,"ARITHMETIC"
"Add n factors",5,14,769,14223190,"Add 3 factors",3,13523680,FALSE,"ARITH_OPEN"
"Add n factors",5,14,770,14234561,"Add 4 factors",4,14023088,FALSE,"ARITH_OPEN"
"Add n factors",5,14,771,14365810,"Add 5 factors",5,14023088,FALSE,"ARITH_OPEN"
"Add n factors",5,14,782,16361772,"Add 16 factors",16,14023088,FALSE,"ARITH_OPEN"
"Add n factors",5,14,783,17822636,"Add 17 factors",17,14023088,FALSE,"ARITH_OPEN"
"Add n factors",5,14,852,22060739,"Add 1 factors",1,22060739,TRUE,"ARITHMETIC"
"Add n factors",5,14,853,23592087,"Add 2 factors",2,23592087,TRUE,"ARITHMETIC"
"Add n factors",5,14,854,24791005,"Add 3 factors",3,24091495,FALSE,"ARITH_OPEN"
"Add n factors",5,14,855,24802376,"Add 4 factors",4,24590903,FALSE,"ARITH_OPEN"
"Add n factors",5,14,856,24933625,"Add 5 factors",5,24590903,FALSE,"ARITH_OPEN"
"Add n factors",5,14,3126,36967070,"Add 1 factors",1,36967070,TRUE,"ARITHMETIC"
"Add n factors",5,14,5330,41717174,"Add 1 factors",1,41717174,TRUE,"ARITHMETIC"
"Add n factors",5,14,5331,43424334,"Add 2 factors",2,43424334,TRUE,"ARITHMETIC"
"Add n factors",5,14,5333,44654840,"Add 4 factors",4,44423150,FALSE,"ARITH_OPEN"
"Add n factors",5,14,5334,44792851,"Add 5 factors",5,44423150,FALSE,"ARITH_OPEN"
"Add n factors",6,14,19,36041819,"Add 1 factors",1,36041819,TRUE,"ARITHMETIC"
"Add n factors",6,14,20,46266943,"Add 2 factors",2,46266943,TRUE,"ARITHMETIC"
"Add n factors",6,14,237,189401468,"Add 1 factors",1,189401468,TRUE,"ARITHMETIC"
"Add n factors",6,14,269,251457999,"Add 1 factors",1,251457999,TRUE,"ARITHMETIC"
"Add n factors",6,14,290,327274520,"Add 1 factors",1,327274520,TRUE,"ARITHMETIC"
"Add n factors",6,14,291,352293332,"Add 2 factors",2,352293332,TRUE,"ARITHMETIC"
"Add n factors",6,14,292,383165614,"Add 3 factors",3,368488420,FALSE,"ARITH_OPEN"
"Add n factors",6,14,294,390577239,"Add 5 factors",5,382471844,FALSE,"ARITH_OPEN"
"Add n factors",6,14,295,398899311,"Add 6 factors",6,382471844,FALSE,"ARITH_OPEN"
"Add n factors",6,14,305,441115376,"Add 16 factors",16,382471844,FALSE,"ARITH_OPEN"
"Add n factors",6,14,306,478888304,"Add 17 factors",17,382471844,FALSE,"ARITH_OPEN"
"Add n factors",6,14,514,606935656,"Add 1 factors",1,606935656,TRUE,"ARITHMETIC"
