"family","t","v","k","N","Source","kind","N_pred","tier"
"Martirosyan-TVT",6,20,672,5423041830,"Martirosyan-TVT","plain",5423041830,"ARITHMETIC"
"Martirosyan-TVT",6,20,673,5433716730,"Martirosyan-TVT variant","variant",5433716730,"ARITHMETIC"
"Martirosyan-TVT",6,20,684,5444391630,"Martirosyan-TVT","plain",5444391630,"ARITHMETIC"
"Martirosyan-TVT",6,20,685,5449742384,"Martirosyan-TVT variant","variant",5449742384,"ARITHMETIC"
"Martirosyan-TVT",6,20,688,5459785112,"Martirosyan-TVT","plain",5459785112,"ARITHMETIC"
"Martirosyan-TVT",6,20,690,5459787202,"Martirosyan-TVT","plain",5459787202,"ARITHMETIC"
"Martirosyan-TVT",6,20,720,5566125566,"Martirosyan-TVT","plain",5566125566,"ARITHMETIC"
"Martirosyan-TVT",6,20,721,5572032058,"Martirosyan-TVT variant","variant",5572032058,"ARITHMETIC"
"Martirosyan-TVT",6,20,722,5577938550,"Martirosyan-TVT","plain",5577938550,"ARITHMETIC"
"Martirosyan-TVT",6,20,724,5664814422,"Martirosyan-TVT","plain",5664814422,"ARITHMETIC"
"Martirosyan-TVT",6,20,760,5957517326,"Martirosyan-TVT","plain",5957517326,"ARITHMETIC"
"Martirosyan-TVT",6,20,768,5962947068,"Martirosyan-TVT","plain",5962947068,"ARITHMETIC"
"Martirosyan-TVT",6,20,769,5972313726,"Martirosyan-TVT variant","variant",5972313726,"ARITHMETIC"
"Martirosyan-TVT",6,20,771,5991862912,"Martirosyan-TVT variant","variant",5991862912,"ARITHMETIC"
"Martirosyan-TVT",6,20,782,5994408544,"Martirosyan-TVT","plain",5994408544,"ARITHMETIC"
"Martirosyan-TVT",6,20,783,5998110013,"Martirosyan-TVT variant","variant",5998110013,"ARITHMETIC"
"Martirosyan-TVT",6,20,800,6001811482,"Martirosyan-TVT","plain",6001811482,"ARITHMETIC"
"Martirosyan-TVT",6,20,816,6012335789,"Martirosyan-TVT","plain",6012335789,"ARITHMETIC"
"Martirosyan-TVT",6,20,817,6013736036,"Martirosyan-TVT variant","variant",6013736036,"ARITHMETIC"
"Martirosyan-TVT",6,20,819,6020250763,"Martirosyan-TVT variant","variant",6020250763,"ARITHMETIC"
"Martirosyan-TVT",6,20,828,6022808003,"Martirosyan-TVT","plain",6022808003,"ARITHMETIC"
"Martirosyan-TVT",6,20,829,6031863245,"Martirosyan-TVT variant","variant",6031863245,"ARITHMETIC"
"Martirosyan-TVT",6,20,860,6035577347,"Martirosyan-TVT","plain",6035577347,"ARITHMETIC"
"Martirosyan-TVT",6,20,864,6040893889,"Martirosyan-TVT","plain",6040893889,"ARITHMETIC"
"Martirosyan-TVT",6,20,865,6046510465,"Martirosyan-TVT variant","variant",6046510465,"ARITHMETIC"
"Martirosyan-TVT",6,20,867,6059862235,"Martirosyan-TVT variant","variant",6059862235,"ARITHMETIC"
"Martirosyan-TVT",6,20,874,6062440633,"Martirosyan-TVT","plain",6062440633,"ARITHMETIC"
"Martirosyan-TVT",6,20,875,6071601321,"Martirosyan-TVT variant","variant",6071601321,"ARITHMETIC"
"Martirosyan-TVT",6,20,912,6075332267,"Martirosyan-TVT","plain",6075332267,"ARITHMETIC"
"Martirosyan-TVT",6,20,913,6082109281,"Martirosyan-TVT variant","variant",6082109281,"ARITHMETIC"
"Martirosyan-TVT",6,20,915,6096692649,"Martirosyan-TVT variant","variant",6096692649,"ARITHMETIC"
"Martirosyan-TVT",6,20,920,6099294767,"Martirosyan-TVT","plain",6099294767,"ARITHMETIC"
"Martirosyan-TVT",6,20,921,6124337507,"Martirosyan-TVT variant","variant",6124337507,"ARITHMETIC"
"Martirosyan-TVT",6,20,960,6128085297,"Martirosyan-TVT","plain",6128085297,"ARITHMETIC"
"Martirosyan-TVT",6,20,961,6171044707,"Martirosyan-TVT variant","variant",6171044707,"ARITHMETIC"
"Martirosyan-TVT",6,20,986,6270852755,"Martirosyan-TVT","plain",6270852755,"ARITHMETIC"
"Martirosyan-TVT",6,20,1001,6276169297,"Martirosyan-TVT variant","variant",6276169297,"ARITHMETIC"
"Martirosyan-TVT",6,20,1005,6316775467,"Martirosyan-TVT variant","variant",6316775467,"ARITHMETIC"
"Martirosyan-TVT",6,20,1012,6319482545,"Martirosyan-TVT","plain",6319482545,"ARITHMETIC"
