"t","k","v","N_snapshot","N_built","verified","size_ok","note"
6,44,2,561,561,TRUE,TRUE,"EXECUTED"
4,105,3,657,657,TRUE,TRUE,"EXECUTED"
3,24,22,12165,12165,TRUE,TRUE,"EXECUTED"
4,5,22,234256,234256,TRUE,TRUE,"EXECUTED"
6,45,2,566,566,TRUE,TRUE,"EXECUTED"
2,6344,8,232,232,TRUE,TRUE,"EXECUTED"
3,24,23,12167,12167,TRUE,TRUE,"EXECUTED"
2,2717,13,481,481,TRUE,TRUE,"EXECUTED"
3,170,7,1183,1183,TRUE,TRUE,"EXECUTED"
3,36,17,9537,9537,TRUE,TRUE,"EXECUTED"
3,1584,2,64,64,FALSE,TRUE,"GAPS_FOUND"
6,46,2,573,573,TRUE,TRUE,"EXECUTED"
5,6,12,248832,248832,TRUE,TRUE,"EXECUTED"
6,8,7,117649,117649,TRUE,TRUE,"EXECUTED"
6,47,2,581,581,TRUE,TRUE,"EXECUTED"
5,98,2,194,194,TRUE,TRUE,"EXECUTED"
3,1712,2,66,66,TRUE,TRUE,"EXECUTED"
4,256,2,160,160,TRUE,TRUE,"EXECUTED"
6,48,2,586,586,TRUE,TRUE,"EXECUTED"
4,76,4,1531,1531,TRUE,TRUE,"EXECUTED"
